epsilon,tau,n,lambda_reg,MLE_BayesRisk,Bayes_BayesRisk,Rho_BayesRisk,MLE_RMSE,Bayes_RMSE,Rho_RMSE,MLE_std,Bayes_std,Rho_std
0.0,0.5,200,100.0,0.005181283653164491,0.005168354690883079,0.004807956143328426,0.07198113400860319,0.07189126992120169,0.06933942704788111,0.04325643763364616,0.04320243459040816,0.041269215719434524
0.05,0.5,200,100.0,0.18495197479588965,0.18449046037859881,0.05171094811512192,0.4300604315626929,0.4295235271537507,0.22740041362126392,0.14345010067995878,0.14327101191506494,0.09024651578883802
0.08,0.5,200,100.0,0.4471294382720526,0.4460137071078656,0.11903074978987443,0.6686773798118586,0.6678425765911198,0.3450083329281692,0.17042930438264817,0.17021653371550385,0.09791341943010137
0.1,0.5,200,100.0,0.6844819230635003,0.6827739214256838,0.17722817996802256,0.8273342269382431,0.8263013502504301,0.4209847740334828,0.18582817419328887,0.18559617896957697,0.1000100555189397
