epsilon,tau,n,lambda_reg,MLE_BayesRisk,Bayes_BayesRisk,Rho_BayesRisk,MLE_RMSE,Bayes_RMSE,Rho_RMSE,MLE_std,Bayes_std,Rho_std
0.0,0.5,100,50.0,0.3228313748750037,0.31667841634151733,0.3905536131931831,0.5681825189804801,0.5627418736343665,0.624942887945117,0.15216618367632262,0.1498149225924832,0.16815711280524703
0.05,0.5,100,50.0,198.84232157034367,193.84421782025203,154.787483724737,14.101146108396424,13.922794899740929,12.441361811503475,13.06590269190415,12.898541955739436,11.88268985378675
0.08,0.5,100,50.0,210.4393666135703,206.02184328684461,151.86431831933646,14.506528413565057,14.353461021190833,12.323324158656886,12.773115752641672,12.641546843389285,11.505074773412524
0.1,0.5,100,50.0,286.5932738778679,279.31364662419253,216.50242027168665,16.929065948181186,16.71267921741432,14.714021213512186,15.040944512262902,14.844978912750122,13.896786695798246
