epsilon,tau,n,lambda_reg,MLE_BayesRisk,Bayes_BayesRisk,Rho_BayesRisk,MLE_RMSE,Bayes_RMSE,Rho_RMSE,MLE_std,Bayes_std,Rho_std
0.0,0.9,200,180.0,0.12531850983570383,0.12521691275792315,0.1258763584920971,0.35400354494793385,0.3538600185919895,0.354790583995823,0.06816669030049874,0.06813585972949408,0.06865492166422754
0.05,0.9,200,180.0,6.977176311092958,6.971754162793492,5.009411838577062,2.6414345176613705,2.6404079538574132,2.2381715391312302,2.3234701732468968,2.322565356122509,2.083159053501046
0.08,0.9,200,180.0,3.756411488633403,3.7534713334867664,1.5177727963423684,1.938146405366066,1.9373877602294196,1.2319792191195307,1.1551622177531826,1.1547092417279408,0.6995001788824153
0.1,0.9,200,180.0,4.2531010745454045,4.2497486556036455,1.697253655803092,2.0623047967129895,2.0614918519372436,1.302786880423307,1.124571756009086,1.1241296946102268,0.6375821108759567
