epsilon,tau,n,lambda_reg,MLE_BayesRisk,Bayes_BayesRisk,Rho_BayesRisk,MLE_RMSE,Bayes_RMSE,Rho_RMSE,MLE_std,Bayes_std,Rho_std
0.0,0.5,200,100.0,4.8353455805613775e-05,2.4910125775082014e-05,0.5558350206043219,0.006953664918991551,0.004991004485580233,0.7455434397835728,0.004967512492205422,0.003337951092688481,0.00805633343428469
0.05,0.5,200,100.0,10181.213425841186,10284.294180098568,0.5547007404800727,100.90199911716905,101.41150911064565,0.7447823443665087,0.09272986682015569,0.0931935161542581,0.008306411406446699
0.08,0.5,200,100.0,10188.630731979314,10291.786214306147,0.5541013900165965,100.93874742624516,101.44844116252426,0.7443798694326684,0.05896124173196799,0.059256047940623405,0.008337675621313337
0.1,0.5,200,100.0,10190.94747571072,10294.12629878087,0.5535085340444104,100.95022276206586,101.45997387532124,0.7439815414675357,0.047586763357503434,0.047824697174288895,0.008486275619130514
