repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
24,0.07609755755376016,0.04920704241925773,0.06789529231726464,0.1897379257118508,0.10004429055782554,0.1856539963844838
25,0.04512785906724469,0.014341635895176001,0.0376182619849855,0.158588056360594,0.08417822354969043,0.14097736667864
26,0.06647403626688633,0.029395343541232594,0.06347027153192451,0.18660714237231094,0.09983562025882232,0.17025535599735664
27,0.05773379824444663,0.01596422970159945,0.04935724797821073,0.18544994789008107,0.08928581425322629,0.16966659981161042
28,0.040238423031153485,0.016539461372728027,0.034620281842293626,0.15155272859721552,0.09049033082525387,0.13818470377096015
29,0.08250055591320586,0.016741059575350457,0.05395848052346836,0.20533510496424093,0.08981045032556015,0.16601989922351662
30,0.04763760915852079,0.030120551410797922,0.04046930538262434,0.16590202695054193,0.10019586684915267,0.14324371434474367
31,0.07407855417766264,0.015329950509130733,0.0555984383693871,0.21294774231700458,0.08904709192952925,0.18311572930003328
32,0.0498496397406491,0.011962401508715128,0.03133129702114866,0.16962048448623912,0.08031081327687453,0.13816695627737854
33,0.0678585286771953,0.015878379649426955,0.052334137994834204,0.18357638277163366,0.08806027760457986,0.16009497415313578
34,0.07143173922317979,0.018694267042204983,0.04967496432745494,0.20942558554835763,0.09636121335266717,0.17542712350011833
35,0.14321887692405852,0.021924295853582014,0.09148305997206062,0.2396204748225322,0.10038485171265427,0.19054199986279305
36,0.07490990129220275,0.04498001079232096,0.07115907089686714,0.1547254283869543,0.10018849674482988,0.14590454621604335
37,0.16751159015276668,0.030628468170468902,0.07736929056857782,0.2208042433588217,0.10450677524118729,0.17668965986158686
38,0.0814846484785285,0.03950902093232422,0.07413875789982408,0.18431165350690198,0.09170045177765072,0.17333516085458264
39,0.07672455003002109,0.04801922255060619,0.07038793035479757,0.16530285765509894,0.1027383857888289,0.14655313811408988
40,0.04552512437098234,0.016006399486582907,0.033144311461588916,0.1513869856296882,0.08484980671370626,0.12376752985715611
41,0.06589982207658257,0.043836788586519626,0.05131341472656138,0.17633881104373048,0.09278930115479601,0.1565906417612607
42,0.047510622576925954,0.01529134578205452,0.038877330842807464,0.15083572738004422,0.08319396721687294,0.14128895924898024
43,0.06670340116080771,0.032476087563347876,0.059572051381238174,0.18452568796149338,0.1040574872453796,0.166399427753103
44,0.0844593359993963,0.051958496513770124,0.08668468345727973,0.18014916347647864,0.11195548188718908,0.17279736143781638
45,0.09396742535319602,0.0217053462168244,0.05587123946474246,0.23674530546535147,0.09608960859696655,0.18427043125387824
46,0.09445538142065978,0.020683099660914528,0.07494279519849768,0.20189380341582336,0.0920448784935139,0.16712478166527445
