repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
0,4.9537945050671865,4.641028671371112,58.448994479809826,1.6682876611049215,1.5712781746459954,7.0684060508736914
1,4.938966626873475,4.704750852148359,61.84290850867136,1.6267847069116677,1.5366008278254701,7.337513595866538
2,5.594377673549675,5.369115001362689,60.61105943580027,1.66219497277971,1.6128376845540398,7.139035765452397
3,4.499707638197942,4.3819732112079075,59.33811783883273,1.5508116521052948,1.4551244458453447,7.182963927590958
4,5.652013591131804,5.487568897394045,59.93748249625548,1.660561665963034,1.6149469051996779,7.211222683102114
5,4.800406132302374,4.495114279839839,59.120895713948,1.656630260169534,1.5228681585720045,7.108827153294279
6,4.691574867866617,4.796391626595767,59.74260072885069,1.5846659002477175,1.5482157973960344,7.199970866967752
7,5.327298335481782,5.355313114308817,64.14514388646876,1.630406417528051,1.5900458984077197,7.413157827184599
8,4.859370334080768,4.858449179637704,60.22470375401182,1.5999314308977477,1.5431575414483583,7.215913309447622
9,4.840762161716415,4.621326740041279,61.13054312874644,1.5799553111217308,1.4923454198693513,7.289076371574326
10,4.571428638555564,4.53501579576375,62.17243542702724,1.5875565653115786,1.5157998851251202,7.31968827957627
11,5.396535806722723,4.892119883314313,60.87003444814028,1.6438165736907508,1.5308677589363722,7.21930163348388
12,4.764389127483953,4.562864117274367,64.68975203610343,1.568263988383527,1.5048546672666636,7.405864141161272
13,5.444211929533358,5.362113114821975,61.52411067719884,1.6390885626894602,1.5713777422772783,7.2424964198323085
14,5.133203499694003,5.181671981623943,63.85048021652342,1.6581850593369158,1.62446508288693,7.387227184517485
15,4.7572426138527355,4.772864829068131,58.62808254566324,1.5969721912178902,1.5332406806304162,7.1426838894984055
16,7.587519080924067,5.122295579556405,61.72513436021225,1.716683838322886,1.5389024798900919,7.255771953091377
17,4.962504128464895,4.851368451257182,59.33820284485652,1.5916219497143393,1.556396091557711,7.201213677401299
18,6.0064399790821374,5.203232549010836,61.68170447514073,1.6926534829890294,1.58595100501967,7.2774645267584
19,5.605438550805711,5.371549829918372,62.927368716369116,1.6533276838847393,1.5874740346368135,7.280590739312218
20,5.365790395877209,5.423469361144597,63.34294010879735,1.6714484636948763,1.6225382149297172,7.341307980072269
21,4.665323158770807,4.7224580321637655,61.72620566824272,1.5378050573673867,1.5045802660947944,7.270261596523918
22,4.945287098559578,4.806643983871163,61.97509766096329,1.6422031158743255,1.575399997809505,7.315901603608994
23,5.083169092718448,4.8911960796679965,60.39266757273481,1.632334229168845,1.5450898892291858,7.259460708904832
24,5.586943020395067,5.458922157790718,62.101669085913585,1.775413926919585,1.6482723894872942,7.329564724957962
25,6.91342849479457,5.2752769713811825,60.938090785123194,1.6765000017107994,1.555099292587311,7.222349988024012
26,5.267099590393236,5.168102935933034,61.77692981910272,1.6443812839568928,1.6038146180274087,7.296288415399996
27,5.166582891239318,5.4184232625363045,63.86859225880909,1.6354260583235205,1.5676031692689307,7.395981732699679
28,4.470731574015607,4.050061023260543,59.40649028951511,1.5479016070137677,1.4264598031740854,7.2436119171543005
29,4.979461459052618,5.11552965525334,62.47869054338474,1.6321346334552822,1.5785847736151863,7.275582368679438
30,4.954932185849363,5.004639526084569,61.18707576386714,1.6125787126604652,1.5580260493822942,7.218968266039424
31,5.66161817860418,5.560050392373872,63.79791860328723,1.7163867325594149,1.6537835604747964,7.390152233025783
32,5.409978513656659,5.039574062370522,61.72081941175935,1.6067470433917508,1.5306920219061162,7.275663994538753
33,4.648839087566172,4.65200421119224,65.7450229523334,1.6104700750362408,1.5455943671655266,7.405313705933874
34,4.80367136281795,4.459267177899081,58.585763168269914,1.6179294269184923,1.485783269602757,7.166666197691228
35,5.182665606445749,4.910261316930365,61.01246542609492,1.635967526687739,1.5571621680081422,7.228261965431259
36,5.710692551737346,5.357217732914866,63.562658993378584,1.7164328137172387,1.5764634222313971,7.274134050458517
37,4.821357650167956,4.57089583021996,61.926828463074735,1.6114128790825097,1.506870625747541,7.211664579175192
38,5.5470449971339715,5.34252904615282,63.94898332926484,1.6530899285225873,1.5481756489113476,7.290228177097691
39,4.844957152071194,4.408974311623231,59.89515806929219,1.6242735890866689,1.4815934141837237,7.112923536623731
40,5.036476611453079,4.620699691693445,59.869443486662185,1.6248754057093653,1.5030390871322954,7.224733603386096
41,5.374764390556356,5.150484326783514,63.33742044593166,1.6758442773420221,1.5759013318942048,7.323873029374798
42,5.258740519820701,5.1741509374320005,65.01812872888007,1.6264888781282172,1.5880204500981476,7.3886129692628195
43,5.244651809415228,4.805747286394285,62.12954864657887,1.6972230669782304,1.5698253371759874,7.328109564485412
44,5.648710913595121,4.472349104168237,58.79601894369447,1.6973643393655753,1.4881344876426406,7.163230836466156
45,4.787896712007089,4.6556645708683275,59.258177828508714,1.5747984952174672,1.5102277912517565,7.104129521952268
46,5.412187458864239,5.158922684325581,64.56462186502138,1.6616190608891699,1.5495216709005146,7.353061042241557
47,5.9855176823834535,5.545982917060538,62.17164265107791,1.7870522785954919,1.6536360508139445,7.353177070322366
48,5.237838475129202,5.279067932319741,65.68158184652644,1.7070722570577623,1.6101700024291459,7.404603679964754
49,4.514853669855247,4.652185919268214,62.350327178959915,1.579265360770029,1.5152487268497308,7.257163752768961
50,5.285830949384284,5.030889007135222,63.261471283599455,1.644931419202575,1.5535031181270271,7.365845374816364
51,5.6807514377413675,5.169276665393208,63.28744485556968,1.5809354632606634,1.5439797962491493,7.3588608866407785
52,5.035052721436669,4.7264402649280655,60.2293140150116,1.6495028175531954,1.529535038703657,7.250585376951408
53,5.067070405761768,4.83514401040759,61.855809555677794,1.625117189301464,1.5304387823292402,7.282540677847617
54,5.428498479633174,5.428042199968299,63.42957251932204,1.668459168478174,1.6195342641672859,7.33327482955675
55,5.467088366459587,5.17296138648668,61.1551763584526,1.7754171818167384,1.5807364964826671,7.2933320686314715
56,5.150260282931297,4.980097814151154,63.97684875755548,1.6267632364682794,1.5343446486360552,7.397054850487186
57,6.311655401052967,5.157822744242186,62.65586305230115,1.6919071238428052,1.5498949016675025,7.321312410477914
58,4.761275382865176,4.820201443489667,61.907392354220576,1.5838153155243795,1.5419547286164301,7.283410229862544
59,5.19839699653429,5.059744908161135,62.11222482647307,1.6246143562127298,1.5538822561762564,7.266393851242875
60,5.532552687000995,5.516204934227529,66.30939535866594,1.643598650724816,1.5881411209609657,7.3282767310845625
61,5.646384126803434,5.370167739295102,63.74568226935096,1.6535577633940297,1.597463335703191,7.38031622384576
62,5.402678835300685,5.309263587841309,64.01781862855356,1.6699882263940262,1.6284184095743657,7.372767090991174
63,5.657509765863546,5.275966437958849,62.04403468239486,1.7130598570253088,1.6037867875853955,7.2285142566255915
64,5.089989620327864,4.951129689671221,60.09213036355393,1.6538562507842989,1.568605209877856,7.247010667962546
65,4.5128144253104825,4.305984147645943,58.87010788580115,1.584041432305549,1.5060675162910073,7.208608397324033
66,4.494688557981994,4.498720100257593,61.61850205947769,1.5346020432283858,1.4733496876480785,7.248727452249141
67,5.24860801039849,5.243041652936655,62.05754914076087,1.6833697939123795,1.621025289110744,7.278102224442405
68,4.933238923787321,4.692565677627901,62.001531770077754,1.6346486043372965,1.4906926287379125,7.268584149205963
69,5.878140488850676,5.721253286072856,65.70020296646526,1.65774355172894,1.6178633851363713,7.501527290848407
70,6.087992291565828,5.740258876261512,63.85630856227528,1.767471739120095,1.6501261192698777,7.372777827133816
71,5.108018021667267,4.967415899861684,66.4347988941528,1.6939298810376076,1.5964333887258788,7.335839088046924
72,5.58068556915482,5.381243349724953,63.15103058025508,1.7053185729311058,1.6059428122415025,7.38832274497372
73,5.237762797299416,5.0938235017491635,62.30760772024454,1.6228579509397127,1.5574463100600515,7.252006453634008
74,4.948059647603946,4.815839126109668,58.04975435737793,1.568437013896334,1.528544618576602,7.070326593381717
75,5.207668564771542,4.844071444011746,61.498597778762814,1.6904723640616968,1.5479794955040316,7.24275422350715
76,4.731307505344519,4.874968813452837,61.130528370585246,1.5988144100102697,1.553995429015034,7.235535271629387
77,4.838896114532171,4.774042756128232,62.26979371829481,1.6104656896653085,1.5444713795518374,7.378768833251159
78,4.248530435780971,4.281704768552133,58.92321093724073,1.5402244533443072,1.4685865560617197,7.174684077190538
79,5.274702721706996,5.209928580808048,61.51611808449806,1.6128191129813407,1.5387303028591865,7.292279860836061
80,5.484356260499205,5.450111627340333,65.01636607976323,1.64084122459949,1.5781230803192245,7.390965928663067
81,5.36536867375426,5.168088778966538,60.2428794202727,1.6595610936879046,1.5988174074137265,7.201672350452565
82,4.975079303089736,4.551515420119907,60.83802827574237,1.6112366212926537,1.4903229396152533,7.214101148851175
83,5.1271003149615995,4.885225567216563,62.03260441260705,1.545804104213243,1.49391302632492,7.3498872520678145
84,4.620440768744946,4.684825026583026,60.47526093233827,1.5118628520692772,1.485207657907492,7.281909193275289
85,4.841045513288302,4.903808084432001,60.87757930227052,1.5616063528838484,1.5144170442541407,7.263589666526953
86,5.8588917478264655,5.866897226363955,65.19169635681192,1.7444970526361387,1.671784938200839,7.399857399701283
87,6.161555920156337,5.368965266997538,62.58780373364483,1.6716010167755933,1.5825852110741758,7.358610252734423
88,5.729604694545972,5.522970462224918,62.87870641294882,1.6331294997617896,1.560903482866853,7.3565973834523914
89,5.402388664527315,4.971932600885076,60.758822420161394,1.6013489719592868,1.528601066415566,7.223317808349713
90,4.82774929919908,4.527091342218777,61.14872220634122,1.6261089126680364,1.5260820161702855,7.25948540875417
91,5.19933841873167,5.163707114279143,61.34046283611972,1.6491505878496302,1.5882749682927009,7.277741463648901
92,4.544961844418558,4.414068844563439,58.943726640370016,1.5335032933526824,1.4703298678152743,7.154508447638997
93,5.19749538280117,5.114348710589541,59.30970800862632,1.7050273287261508,1.602719613939171,7.158624855189477
94,4.802628631223717,4.643509305070732,59.912483207273304,1.6090279939162788,1.5323564369690796,7.214487440003857
95,4.743074097941699,4.477333060087212,56.60057366011292,1.6092770268902787,1.5113160322992556,7.043493901885369
96,5.6321939943873,5.511089433894272,64.05282357001082,1.67075076399298,1.5872639392573056,7.299773495132073
97,5.788324470866239,5.3923624753415,62.03540686459119,1.753168053257587,1.6245268513475528,7.229097881708078
98,4.4752205698205705,4.506810962377404,60.63202001694046,1.502241775465116,1.471997165239464,7.277844666369091
99,4.564536819052063,4.585642144997965,61.25959312507208,1.5641454693817436,1.5115558821370365,7.315824540263458
100,5.1099361704939295,5.0889611609944865,62.80808957496848,1.653266279582898,1.5324036989851435,7.258941904118876
101,5.4660654711310075,5.019788383900974,63.724989804249574,1.7352029153283952,1.5578122062473616,7.383566586850739
102,4.691796633467604,4.542812252439036,58.35409667244887,1.5962188741788976,1.5148565143024275,7.118457857353272
103,4.963572394620497,4.703513006924867,63.03064929664384,1.6846482776861624,1.56762058434467,7.37837443869364
104,4.993793230467641,5.0362471399621,61.03031701736786,1.6357210091548047,1.553806266524933,7.226249710644294
105,4.983321127667546,4.893868094542831,59.6330540641884,1.6055431982758237,1.517143629677039,7.209955928625633
106,5.401186410730458,5.213282344321428,63.51299333527959,1.6694310850868121,1.5755025968595024,7.268889590119584
107,5.6137802244143655,5.3505672507085675,60.59935939019452,1.6625655535400505,1.608342930346174,7.272820869758871
108,4.722558468384559,4.675710232372413,59.786735403528446,1.5796316065486697,1.5088302100237874,7.236274744513742
109,4.462530704443159,4.427878329396006,60.36779602357333,1.5026493753522632,1.471090206576876,7.258581075214379
110,5.153649396748659,4.93847816894406,61.28975908770706,1.6579415462127205,1.5474162891684762,7.284516248827647
111,5.164855171959418,5.13775446639573,63.93073281872389,1.6182758529835395,1.570101543642621,7.4235033881898005
112,4.902986794961169,4.733841288025862,61.40743048299044,1.6502844521231022,1.5719292089657386,7.198788644742155
113,5.248064530988448,5.017913400872563,62.75411365705247,1.6756484888507297,1.5204968999746407,7.305218114603524
114,4.8307789123216125,4.846735134585819,59.947041376191294,1.562896787598579,1.547450242262363,7.219146507248009
115,4.805473129336135,4.198325738381441,57.422648487131916,1.6105728123309628,1.453042661377531,7.134493824854207
